Experiment	Oscilloscope	
Saved Date	16.03.2023 12:32:13	
User		
AC	12.4738E-12	
DC	-98.9035E-9	
Pk-Pk	84.583E-12	
Signal Unit	m	
Bias>Bias (V)	4.2567E+0	
Bias>Calibration (V/V)	1E+0	
Bias>Offset (V)	0E+0	
Current>Current (A)	11.6112E-12	
Current>Calibration (A/V)	1E-9	
Current>Offset (A)	2.50081E-12	
Current>Gain	Not switchable	
NanonisMain>Session Path	C:\Users\snom\Documents\nanonis_user_settings	
NanonisMain>SW Version	Generic 5e	
NanonisMain>UI Release	11948	
NanonisMain>RT Release	11948	
NanonisMain>RT Frequency (Hz)	20E+3	
NanonisMain>Signals Oversampling	10	
NanonisMain>Acquisition Period (s)	20E-3	
NanonisMain>Animations Period (s)	20E-3	
NanonisMain>Indicators Period (s)	300E-3	
NanonisMain>Measurements Period (s)	500E-3	
Outputs>Output 0 Mode	User Output	
Outputs>Output 1 Mode	User Output	
Outputs>Output 2 Mode	Calc. Signal	
Outputs>Output 3 Mode	User Output	
Outputs>Output 4 Mode	User Output	
Outputs>Output 5 Mode	User Output	
Outputs>Output 6 Mode	User Output	
Outputs>Output 7 Mode	User Output	
Outputs>Output 0 Value	0E+0	
Outputs>Output 1 Value	0E+0	
Outputs>Output 3 Value	0E+0	
Outputs>Output 4 Value	0E+0	
Outputs>Output 5 Value	0E+0	
Outputs>Output 6 Value	0E+0	
Outputs>Output 7 Value	0E+0	
Outputs>Output 0 Name	Input 24 (V)	
Outputs>Output 1 Name	Bias (V)	
Outputs>Output 2 Name	Bias + Input 2 (V)	
Outputs>Output 3 Name	Output 3 (V)	
Outputs>Output 4 Name	Output 4 (V)	
Outputs>Output 5 Name	X (m)	
Outputs>Output 6 Name	Y (m)	
Outputs>Output 7 Name	Z (m)	
Outputs>Output 0 Slew Rate	Inf	
Outputs>Output 1 Slew Rate	Inf	
Outputs>Output 2 Slew Rate	Inf	
Outputs>Output 3 Slew Rate	Inf	
Outputs>Output 4 Slew Rate	Inf	
Outputs>Output 5 Slew Rate	Inf	
Outputs>Output 6 Slew Rate	Inf	
Outputs>Output 7 Slew Rate	Inf	
Piezo Configuration>Active Calib.	user_custom	
Piezo Configuration>Calib. X (m/V)	16E-9	
Piezo Configuration>Calib. Y (m/V)	16E-9	
Piezo Configuration>Calib. Z (m/V)	-4.5E-9	
Piezo Configuration>HV Gain X	4	
Piezo Configuration>HV Gain Y	4	
Piezo Configuration>HV Gain Z	4	
Piezo Configuration>Tilt X (deg)	-3.8893	
Piezo Configuration>Tilt Y (deg)	-1.03622	
Piezo Configuration>Curvature radius X (m)	Inf	
Piezo Configuration>Curvature radius Y (m)	Inf	
Piezo Configuration>2nd order corr X (V/m^2)	0E+0	
Piezo Configuration>2nd order corr Y (V/m^2)	0E+0	
Piezo Configuration>Drift X (m/s)	0E+0	
Piezo Configuration>Drift Y (m/s)	0E+0	
Piezo Configuration>Drift Z (m/s)	0E+0	
Piezo Configuration>Drift correction status (on/off)	FALSE	
Scan>Scanfield	535.159E-9;-31.7811E-9;100E-9;100E-9;0E+0	
Scan>series name	%Y_%m_%d_Ag-001_%N	
Scan>channels	Current (A);Z (m)	
Scan>pixels/line	512	
Scan>lines	512	
Scan>speed forw. (m/s)	75.1202E-9	
Scan>speed backw. (m/s)	75.1202E-9	
Z-Controller>Z (m)	-96.8748E-9	
Z-Controller>Controller name	log Current_custom	
Z-Controller>Controller status	ON	
Z-Controller>Setpoint	10.805E-12	
Z-Controller>Setpoint unit	A	
Z-Controller>P gain	1.4013E-45	
Z-Controller>I gain	31.0358E-9	
Z-Controller>Time const (s)	45.151E-39	
Z-Controller>TipLift (m)	360E-9	
Z-Controller>Switch off delay (s)	0E+0	

[DATA]
Time (s)	Z (m)
0.0000000E+0	-98.945307E-9
9.9999998E-3	-98.942095E-9
20.000000E-3	-98.939140E-9
29.999999E-3	-98.938010E-9
39.999999E-3	-98.934692E-9
49.999997E-3	-98.933299E-9
59.999999E-3	-98.934109E-9
70.000000E-3	-98.935345E-9
79.999998E-3	-98.935089E-9
89.999996E-3	-98.937534E-9
99.999994E-3	-98.941030E-9
110.00000E-3	-98.942678E-9
120.00000E-3	-98.944419E-9
130.00000E-3	-98.945932E-9
140.00000E-3	-98.944469E-9
149.99999E-3	-98.941101E-9
160.00000E-3	-98.939779E-9
170.00000E-3	-98.938294E-9
179.99999E-3	-98.933789E-9
190.00000E-3	-98.932013E-9
199.99999E-3	-98.930883E-9
209.99999E-3	-98.932027E-9
220.00000E-3	-98.932951E-9
229.99999E-3	-98.935942E-9
239.99999E-3	-98.938052E-9
250.00000E-3	-98.941314E-9
259.99999E-3	-98.942941E-9
269.99998E-3	-98.944135E-9
280.00000E-3	-98.944170E-9
289.99999E-3	-98.944724E-9
299.99998E-3	-98.941939E-9
310.00000E-3	-98.937676E-9
319.99999E-3	-98.936020E-9
329.99998E-3	-98.932489E-9
340.00000E-3	-98.928837E-9
349.99999E-3	-98.926115E-9
359.99998E-3	-98.925248E-9
370.00000E-3	-98.924716E-9
380.00000E-3	-98.923657E-9
389.99999E-3	-98.925469E-9
399.99998E-3	-98.927508E-9
410.00000E-3	-98.928020E-9
419.99999E-3	-98.929583E-9
429.99998E-3	-98.932389E-9
440.00000E-3	-98.931793E-9
449.99999E-3	-98.931203E-9
459.99998E-3	-98.931707E-9
470.00000E-3	-98.929050E-9
479.99999E-3	-98.928460E-9
489.99998E-3	-98.926051E-9
500.00000E-3	-98.923337E-9
509.99999E-3	-98.921177E-9
519.99998E-3	-98.921348E-9
529.99997E-3	-98.920928E-9
539.99996E-3	-98.919202E-9
550.00001E-3	-98.921866E-9
560.00000E-3	-98.922406E-9
569.99999E-3	-98.923870E-9
579.99998E-3	-98.925277E-9
589.99997E-3	-98.928837E-9
599.99996E-3	-98.928325E-9
610.00001E-3	-98.927607E-9
620.00000E-3	-98.927693E-9
630.00000E-3	-98.927373E-9
639.99999E-3	-98.924552E-9
649.99998E-3	-98.922463E-9
659.99997E-3	-98.921703E-9
669.99996E-3	-98.919180E-9
